Genes,Clinical_Importance_level,Transmissibility_level,Mobility_level,Pathogenic_level,Clinial_Importance_score,Transmissbilitty_score,Mobility_score,Pathogenic_score,Final_Risk_score
mycoplasma hominis parc conferring resistance to fluoroquinolones,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
myo-1,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
myx-1,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
ndm-39,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
neisseria gonorrhoeae pbp2 conferring resistance to beta-lactam antibiotics,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
neisseria meningititis pbp2 conferring resistance to beta-lactam,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
nps-1,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
och-2,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
okp-a-17,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
okp-a-2,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
okp-a-3,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
okp-a-5,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
okp-a-8,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
okp-b-1,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
okp-b-16,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
okp-b-17,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
okp-b-20,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
okp-b-22,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
okp-b-24,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
okp-b-36,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
okp-b-4,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
okp-b-41,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
okp-b-45,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
okp-b-5,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
okp-b-9,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
okp-c-1,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
okp-d-1,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oleb,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
olei,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
orn-4,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
orr-1,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-114a,Critically Important,Not Defined,Very Low,Not Defined,28.4,0.0,3.5,0.0,31.9
oxa-114f,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-114g,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-114h,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-114i,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-114j,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-114l,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-114m,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-114p,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-126,Critically Important,Not Defined,Very Low,Not Defined,28.4,0.0,3.5,0.0,31.9
oxa-133,Critically Important,Not Defined,Very Low,Not Defined,28.4,0.0,3.5,0.0,31.9
oxa-204,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-205,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-211,Critically Important,Not Defined,Very Low,Not Defined,28.4,0.0,3.5,0.0,31.9
oxa-212,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-230,Critically Important,Not Defined,Very Low,Not Defined,28.4,0.0,3.5,0.0,31.9
oxa-234,Critically Important,Not Defined,Very Low,Not Defined,28.4,0.0,3.5,0.0,31.9
oxa-243,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-246,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-257,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-259,Critically Important,Not Defined,Very Low,Not Defined,28.4,0.0,3.5,0.0,31.9
oxa-272,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-274,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-277,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-283,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-286,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-291,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-292,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-294,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-299,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-302,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-323,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-330,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-332,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-373,Critically Important,Not Defined,Very Low,Not Defined,28.4,0.0,3.5,0.0,31.9
oxa-392,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-448,Critically Important,Not Defined,Very Low,Not Defined,28.4,0.0,3.5,0.0,31.9
oxa-452,Critically Important,Not Defined,Very Low,Not Defined,28.4,0.0,3.5,0.0,31.9
oxa-479,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-491,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-499,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-502,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-504,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-513,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-515,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-533,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-547,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-548,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-552,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-568,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-569,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-572,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-573,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-574,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-575,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-642,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-645,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-648,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-650,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-651,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-652,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-653,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-662,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-667,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-669,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-678,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-679,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-726,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-727,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-728,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-729,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-731,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-732,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-778,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-780,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-819,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-820,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-821,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-822,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-826,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-830,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-837,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-842,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-895,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-898,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-900,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-912,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-917,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-926,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-930,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-931,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxa-943,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxy-2-11,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxy-2-12,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxy-2-6,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxy-2-8,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxy-2-9,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxy-3-1,Critically Important,Not Defined,Very Low,Not Defined,28.4,0.0,3.5,0.0,31.9
oxy-5-2,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
oxy-6-3,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
pam-1,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
pam-2,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
pau-1,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
pdc-12,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
pdc-2,Critically Important,Not Defined,Very Low,Not Defined,28.4,0.0,3.5,0.0,31.9
pdc-42,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
pdc-7,Critically Important,Not Defined,Very Low,Not Defined,28.4,0.0,3.5,0.0,31.9
pdc-80,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
pdc-9,Critically Important,Not Defined,Very Low,Not Defined,28.4,0.0,3.5,0.0,31.9
pedo-1,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
pedo-3,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
per-3,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
pfm-2,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
pfm-4,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
pla-1,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
pla-2a,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
pla-3,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
pme-1,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
qnra1,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
qnra2,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
qnra3,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
qnra4,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
qnra7,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
qnras,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
qnrb69,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
qnrs2,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
qnrs5,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
qnrvc7,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
r39,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
rahn-2,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
rana,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
ranb,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
rmtd2,Critically Important,Not Defined,Very Low,Not Defined,28.4,0.0,3.5,0.0,31.9
rob-10,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
rob-11,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
rob-13,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
rob-2,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
rob-3,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
rpha,Critically Important,Not Defined,Very Low,Not Defined,28.4,0.0,3.5,0.0,31.9
rsa-1,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
sald,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
sgm-2,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
sgm-3,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
sgm-4,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
sgm-5,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
shd-1,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
shn-1,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
shv-126,Critically Important,Not Defined,Very Low,Not Defined,28.4,0.0,3.5,0.0,31.9
shv-25,Critically Important,Not Defined,Very Low,Not Defined,28.4,0.0,3.5,0.0,31.9
shv-27,Critically Important,Not Defined,Very Low,Not Defined,28.4,0.0,3.5,0.0,31.9
shv-63,Critically Important,Not Defined,Very Low,Not Defined,28.4,0.0,3.5,0.0,31.9
sps-1,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
sta-1,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
streptococcus pneumoniae pbp2b conferring resistance to amoxicillin,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
tem-164,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
tem-181,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
tem-245,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
ter-2,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
ttu-1,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
tus-1,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
ureaplasma urealyticum parc conferring resistance to fluoroquinolones,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
vam-1,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
vane,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
vann,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
vanp,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
vanr gene in vane cluster,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
vanr gene in vann cluster,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
vans gene in vann cluster,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
vantm gene in vanl cluster,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
vanv gene in vanb cluster,Critically Important,Not Defined,Very Low,Not Defined,28.4,0.0,3.5,0.0,31.9
vanxy gene in vane cluster,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
vanxy gene in vanl cluster,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
veb-15,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
vgab,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
vgac,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
vgad,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
vhw-1,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
vim-24,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
vim-28,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
vim-54,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
vim-71,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
wus-1,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
yem-1,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
yrc-1,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
zog-1,Critically Important,Not Defined,Not Defined,Very Low,28.4,0.0,0.0,3.5,31.9
escherichia coli nfsa mutations conferring resistance to nitrofurantoin,Important,Not Defined,Not Defined,High,12.2,0.0,0.0,19.9,32.1
dfrc,Marginally Important,Very High,Low,Very Low,0.0,21.6,7.1,3.5,32.2
farb,Marginally Important,Very High,Low,Very Low,0.0,21.6,7.1,3.5,32.2
cfe-1,Highly Important,Not Defined,Very Low,Low,21.8,0.0,3.5,7.0,32.3
cmy-100,Highly Important,Not Defined,Very Low,Low,21.8,0.0,3.5,7.0,32.3
cmy-101,Highly Important,Not Defined,Very Low,Low,21.8,0.0,3.5,7.0,32.3
cmy-115,Highly Important,Not Defined,Very Low,Low,21.8,0.0,3.5,7.0,32.3
cmy-116,Highly Important,Not Defined,Very Low,Low,21.8,0.0,3.5,7.0,32.3
cmy-46,Highly Important,Not Defined,Very Low,Low,21.8,0.0,3.5,7.0,32.3
cmy-49,Highly Important,Not Defined,Very Low,Low,21.8,0.0,3.5,7.0,32.3
cmy-65,Highly Important,Not Defined,Very Low,Low,21.8,0.0,3.5,7.0,32.3
cmy-75,Highly Important,Not Defined,Very Low,Low,21.8,0.0,3.5,7.0,32.3
cmy-77,Highly Important,Not Defined,Very Low,Low,21.8,0.0,3.5,7.0,32.3
cmy-85,Highly Important,Not Defined,Very Low,Low,21.8,0.0,3.5,7.0,32.3
cmy-86,Highly Important,Not Defined,Very Low,Low,21.8,0.0,3.5,7.0,32.3
agrobacterium fabrum chloramphenicol acetyltransferase,Highly Important,Not Defined,Low,Very Low,21.8,0.0,7.1,3.5,32.4
catb10,Highly Important,Not Defined,Low,Very Low,21.8,0.0,7.1,3.5,32.4
clostridium butyricum catb,Highly Important,Not Defined,Low,Very Low,21.8,0.0,7.1,3.5,32.4
cmlv,Highly Important,Not Defined,Low,Very Low,21.8,0.0,7.1,3.5,32.4
lin,Highly Important,Not Defined,Low,Very Low,21.8,0.0,7.1,3.5,32.4
llma 23s ribosomal rna methyltransferase,Highly Important,Not Defined,Low,Very Low,21.8,0.0,7.1,3.5,32.4
streptomyces lividans cmlr,Highly Important,Not Defined,Low,Very Low,21.8,0.0,7.1,3.5,32.4
tap,Highly Important,Not Defined,Low,Very Low,21.8,0.0,7.1,3.5,32.4
tcr3,Highly Important,Not Defined,Low,Very Low,21.8,0.0,7.1,3.5,32.4
tet(30),Highly Important,Not Defined,Low,Very Low,21.8,0.0,7.1,3.5,32.4
tet(32),Highly Important,Not Defined,Low,Very Low,21.8,0.0,7.1,3.5,32.4
tet(v),Highly Important,Not Defined,Low,Very Low,21.8,0.0,7.1,3.5,32.4
teta(58),Highly Important,Not Defined,Low,Very Low,21.8,0.0,7.1,3.5,32.4
teta(p),Highly Important,Not Defined,Low,Very Low,21.8,0.0,7.1,3.5,32.4
vatb,Highly Important,Not Defined,Low,Very Low,21.8,0.0,7.1,3.5,32.4
vatf,Highly Important,Not Defined,Low,Very Low,21.8,0.0,7.1,3.5,32.4
opmh,Marginally Important,Low,Low,High,0.0,6.1,7.1,19.9,33.1
tria,Marginally Important,Low,Low,High,0.0,6.1,7.1,19.9,33.1
trib,Marginally Important,Low,Low,High,0.0,6.1,7.1,19.9,33.1
tric,Marginally Important,Low,Low,High,0.0,6.1,7.1,19.9,33.1
nime,Important,High,Not Defined,Very Low,12.2,18.3,0.0,3.5,34.0
dfrg,Marginally Important,Not Defined,Medium,High,0.0,0.0,14.2,19.9,34.1
dfrk,Marginally Important,Not Defined,Medium,High,0.0,0.0,14.2,19.9,34.1
but-1,Critically Important,Low,Not Defined,Not Defined,28.4,6.1,0.0,0.0,34.5
llma 13s ribosomal rna methyltransferase,Critically Important,Low,Not Defined,Not Defined,28.4,6.1,0.0,0.0,34.5
oxa-174,Critically Important,Low,Not Defined,Not Defined,28.4,6.1,0.0,0.0,34.5
oxa-814,Critically Important,Low,Not Defined,Not Defined,28.4,6.1,0.0,0.0,34.5
pngm-1,Critically Important,Low,Not Defined,Not Defined,28.4,6.1,0.0,0.0,34.5
catq,Highly Important,Low,Very Low,Very Low,21.8,6.1,3.5,3.5,34.9
adc-193,Critically Important,Very Low,Not Defined,Very Low,28.4,3.05,0.0,3.5,34.95
adc-70,Critically Important,Very Low,Not Defined,Very Low,28.4,3.05,0.0,3.5,34.95
aim-1,Critically Important,Very Low,Not Defined,Very Low,28.4,3.05,0.0,3.5,34.95
alme,Critically Important,Very Low,Not Defined,Very Low,28.4,3.05,0.0,3.5,34.95
axc-3,Critically Important,Very Low,Not Defined,Very Low,28.4,3.05,0.0,3.5,34.95
blab-11,Critically Important,Very Low,Not Defined,Very Low,28.4,3.05,0.0,3.5,34.95
crxa,Critically Important,Very Low,Not Defined,Very Low,28.4,3.05,0.0,3.5,34.95
ebr-1,Critically Important,Very Low,Very Low,Not Defined,28.4,3.05,3.5,0.0,34.95
ebr-3,Critically Important,Very Low,Not Defined,Very Low,28.4,3.05,0.0,3.5,34.95
efm-1,Critically Important,Very Low,Not Defined,Very Low,28.4,3.05,0.0,3.5,34.95
fosg,Critically Important,Very Low,Not Defined,Very Low,28.4,3.05,0.0,3.5,34.95
fosm1,Critically Important,Very Low,Not Defined,Very Low,28.4,3.05,0.0,3.5,34.95
gob-13,Critically Important,Very Low,Very Low,Not Defined,28.4,3.05,3.5,0.0,34.95
hera-6,Critically Important,Very Low,Very Low,Not Defined,28.4,3.05,3.5,0.0,34.95
ind-16,Critically Important,Very Low,Not Defined,Very Low,28.4,3.05,0.0,3.5,34.95
kluc-1,Critically Important,Very Low,Not Defined,Very Low,28.4,3.05,0.0,3.5,34.95
len-30,Critically Important,Very Low,Not Defined,Very Low,28.4,3.05,0.0,3.5,34.95
mefc,Critically Important,Very Low,Not Defined,Very Low,28.4,3.05,0.0,3.5,34.95
meff,Critically Important,Very Low,Not Defined,Very Low,28.4,3.05,0.0,3.5,34.95
mrea,Critically Important,Very Low,Not Defined,Very Low,28.4,3.05,0.0,3.5,34.95
och-6,Critically Important,Very Low,Not Defined,Very Low,28.4,3.05,0.0,3.5,34.95
och-8,Critically Important,Very Low,Not Defined,Very Low,28.4,3.05,0.0,3.5,34.95
orn-1,Critically Important,Very Low,Not Defined,Very Low,28.4,3.05,0.0,3.5,34.95
oxa-309,Critically Important,Very Low,Not Defined,Very Low,28.4,3.05,0.0,3.5,34.95
